sura_num,aya_num,median,std
2,132,20911.291447078667,4006.5506075815115
2,133,34046.994215228246,4611.287469166547
2,134,16966.844653447442,1929.7155252205962
2,135,15530.432221566249,3279.16097830108
2,136,39413.02321850536,8282.93746318254
2,137,23859.14378548516,2906.695647198212
2,138,10571.467455326081,1236.6371902012143
2,139,18573.71359231071,4139.014336964054
2,140,34748.72216866382,4055.369265357288
2,141,17031.50667617995,2785.214444465205
2,142,24898.876209227252,3164.4646759082125
2,143,54514.45780125836,5203.622129285615
2,144,39552.84757179673,3951.460675255042
2,145,37317.657677205134,4349.216485087133
2,146,19387.605742378597,2495.2822013607147
2,147,7893.023073446442,1158.3669229342834
2,148,21745.321727373514,2346.91108343257
2,149,18004.14495165035,2016.6040965191103
2,150,36404.82273689862,5949.800206348218
2,151,24238.58575733244,4109.1814809278885
2,152,8402.733156769318,1478.557860874889
2,153,13723.113683015847,1807.0522037776552
2,154,15292.645173924386,1608.5522880599478
2,155,18495.215778536138,2801.4791682670034
2,156,16604.432825706357,4044.8444604254682
2,157,13570.985772964397,983.4364691747015
2,158,25525.464769252154,2740.136022022912
2,159,27637.004510009217,4981.900163777484
2,160,14636.253301091725,2093.3963938060006
2,161,18288.784834901133,2694.94704007593
2,162,9974.374213387664,980.9001887258319
2,163,11220.339572914036,2242.2121822735294
2,164,61503.86306745429,10348.120395422124
2,165,34441.193016720244,3983.504877583113
2,166,12807.216706927087,1639.610032259687
2,167,26893.106954717507,3500.051838893289
2,168,19809.95581295084,2799.3748440550767
2,169,14893.069008281465,1822.907913046439
2,170,24974.388088017295,2852.146468071681
2,171,21572.525966559704,2398.4209549592106
2,172,17497.004083313994,1721.3060579799494
2,173,28144.1952619274,2629.564486247706
2,174,35301.39099445759,5440.654866012899
2,175,15672.629339725823,1956.0194591385298
2,176,16691.30790472936,1760.711792499896
2,177,74532.11030292456,11181.844089428372
2,178,43547.71217003047,4787.547283797843
2,179,10525.482783908146,1899.0467367608194
2,180,19076.37743628343,3162.2010244740704
2,181,16982.290349868337,2113.9517035957942
2,182,17523.86515188978,2012.6428189969452
2,183,15873.28538821952,5292.593246635148
2,184,39361.136638787095,4380.883350067599
2,185,48806.46881183922,10249.915545455862
2,186,23331.093994281146,11811.018697000867
2,187,76743.41204648685,8181.900677173579
2,188,23264.043720681686,4068.2484185469734
2,189,29575.95422578156,3616.0031225756165
2,190,14688.982872620185,1595.9931079507414
2,191,33105.88629365059,3508.745011434613
2,192,7123.500734828827,623.9043035432679
2,193,17049.42650407466,2420.5507317690212
