, ,aya,sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
26,24.0,20,2,3.0,0.0,4.0,0.0,2.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0,13.0,10.0,1.0,9.0,6.0,1.0,6.0,0.0,1.0,1.0,44.0,9.0,12.0,5.0,16.0,190.0,25.0,20.0,3.0,0.0,6.0,6.0
27,11.0,21,2,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,7.0,5.0,4.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,20.0,10.0,4.0,7.0,6.0,100.0,12.0,9.0,0.0,2.0,4.0,3.0
28,22.0,22,2,4.0,0.0,5.0,0.0,0.0,0.0,17.0,2.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,14.0,10.0,7.0,2.0,5.0,0.0,1.0,5.0,0.0,0.0,42.0,6.0,12.0,5.0,11.0,180.0,23.0,22.0,4.0,4.0,1.0,5.0
29,19.0,23,2,1.0,0.0,1.0,0.0,2.0,0.0,9.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,5.0,8.0,11.0,3.0,6.0,1.0,3.0,0.0,0.0,2.0,19.0,10.0,15.0,3.0,15.0,142.0,20.0,13.0,1.0,4.0,3.0,6.0
30,12.0,24,2,0.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,1.0,10.0,1.0,5.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,22.0,8.0,7.0,5.0,8.0,116.0,13.0,15.0,0.0,6.0,2.0,7.0
31,33.0,25,2,0.0,1.0,4.0,0.0,0.0,0.0,26.0,4.0,2.0,7.0,1.0,3.0,2.0,1.0,1.0,3.0,8.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,1.0,12.0,13.0,11.0,12.0,12.0,0.0,5.0,2.0,2.0,2.0,47.0,17.0,22.0,8.0,15.0,260.0,34.0,31.0,1.0,9.0,5.0,12.0
32,38.0,26,2,0.0,1.0,5.0,0.0,2.0,0.0,25.0,7.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,4.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,7.0,4.0,3.0,16.0,12.0,10.0,10.0,10.0,0.0,15.0,5.0,0.0,0.0,63.0,13.0,23.0,13.0,11.0,283.0,39.0,33.0,1.0,2.0,15.0,10.0
33,19.0,27,2,0.0,0.0,4.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,9.0,5.0,8.0,6.0,8.0,0.0,7.0,0.0,0.0,0.0,28.0,11.0,14.0,3.0,10.0,148.0,20.0,12.0,1.0,0.0,7.0,8.0
34,12.0,28,2,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,3.0,9.0,3.0,2.0,4.0,0.0,8.0,1.0,0.0,0.0,17.0,15.0,6.0,4.0,12.0,115.0,13.0,7.0,0.0,5.0,8.0,4.0
35,18.0,29,2,2.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,8.0,7.0,1.0,3.0,6.0,2.0,5.0,1.0,1.0,2.0,28.0,6.0,9.0,6.0,6.0,128.0,19.0,13.0,2.0,2.0,5.0,6.0
36,27.0,30,2,1.0,0.0,3.0,0.0,3.0,1.0,13.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,4.0,5.0,15.0,7.0,8.0,2.0,6.0,0.0,8.0,1.0,1.0,0.0,41.0,13.0,21.0,6.0,12.0,206.0,28.0,19.0,2.0,4.0,8.0,6.0
37,14.0,31,2,3.0,1.0,3.0,1.0,1.0,2.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,8.0,8.0,5.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,31.0,7.0,10.0,3.0,9.0,130.0,15.0,15.0,7.0,2.0,2.0,2.0
38,11.0,32,2,0.0,0.0,1.0,0.0,2.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,9.0,5.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,20.0,4.0,5.0,3.0,6.0,86.0,12.0,13.0,0.0,2.0,2.0,1.0
39,22.0,33,2,0.0,1.0,10.0,0.0,1.0,3.0,12.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,10.0,17.0,6.0,4.0,6.0,0.0,3.0,0.0,0.0,0.0,40.0,13.0,11.0,3.0,21.0,189.0,23.0,24.0,4.0,5.0,3.0,6.0
