sura,ء,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ـ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,ٓ,ٔ,ٰ,ٱ,ۜ,۟,۠,ۢ,ۣ,ۥ,ۦ,ۨ,۪,۫,۬,ۭ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
62,5.0,12.0,1.0,12.0,3.0,48.0,17.0,8.0,27.0,7.0,3.0,10.0,4.0,12.0,16.0,22.0,7.0,8.0,3.0,3.0,8.0,0.0,3.0,16.0,2.0,1.0,18.0,14.0,24.0,110.0,71.0,48.0,35.0,62.0,12.0,51.0,7.0,3.0,2.0,243.0,88.0,129.0,58.0,88.0,9.0,1.0,24.0,52.0,0.0,15.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1429.0,175.0,160.0,10.0,35.0,53.0,64.0
63,7.0,25.0,3.0,12.0,3.0,44.0,14.0,5.0,21.0,1.0,9.0,6.0,8.0,12.0,13.0,26.0,4.0,21.0,3.0,5.0,2.0,1.0,0.0,20.0,4.0,0.0,25.0,23.0,24.0,114.0,63.0,69.0,48.0,69.0,9.0,42.0,2.0,4.0,3.0,309.0,115.0,92.0,55.0,97.0,13.0,0.0,26.0,32.0,0.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1520.0,180.0,148.0,13.0,26.0,43.0,70.0
64,3.0,30.0,6.0,12.0,3.0,65.0,38.0,3.0,36.0,3.0,6.0,16.0,7.0,15.0,16.0,40.0,6.0,19.0,6.0,11.0,6.0,4.0,2.0,33.0,8.0,3.0,36.0,14.0,35.0,143.0,90.0,67.0,50.0,105.0,16.0,60.0,6.0,20.0,4.0,382.0,137.0,150.0,74.0,117.0,13.0,3.0,33.0,59.0,0.0,24.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2044.0,241.0,215.0,15.0,39.0,63.0,108.0
65,10.0,43.0,2.0,12.0,2.0,77.0,34.0,8.0,48.0,6.0,15.0,23.0,10.0,32.0,15.0,50.0,6.0,27.0,9.0,3.0,9.0,3.0,4.0,44.0,2.0,4.0,27.0,28.0,28.0,152.0,76.0,94.0,79.0,73.0,18.0,64.0,20.0,1.0,17.0,450.0,150.0,160.0,106.0,144.0,16.0,4.0,33.0,47.0,0.0,16.0,0.0,3.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2319.0,287.0,230.0,18.0,56.0,70.0,82.0
66,5.0,33.0,3.0,11.0,5.0,78.0,43.0,6.0,50.0,4.0,14.0,16.0,8.0,19.0,11.0,48.0,5.0,10.0,3.0,8.0,8.0,2.0,6.0,33.0,7.0,2.0,24.0,17.0,32.0,114.0,84.0,98.0,56.0,74.0,24.0,64.0,11.0,7.0,12.0,442.0,107.0,140.0,77.0,123.0,19.0,2.0,45.0,49.0,0.0,9.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2079.0,249.0,240.0,15.0,56.0,69.0,78.0
67,12.0,45.0,1.0,20.0,2.0,81.0,48.0,4.0,36.0,1.0,16.0,15.0,9.0,17.0,32.0,70.0,10.0,27.0,13.0,16.0,6.0,6.0,1.0,36.0,6.0,2.0,45.0,36.0,47.0,142.0,109.0,98.0,55.0,94.0,38.0,77.0,13.0,13.0,20.0,492.0,153.0,187.0,88.0,157.0,17.0,2.0,35.0,57.0,0.0,13.0,1.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2533.0,333.0,276.0,17.0,40.0,82.0,97.0
68,5.0,35.0,0.0,24.0,3.0,90.0,55.0,8.0,38.0,6.0,13.0,19.0,9.0,28.0,19.0,48.0,4.0,25.0,5.0,15.0,4.0,11.0,3.0,42.0,8.0,1.0,28.0,21.0,53.0,129.0,120.0,131.0,48.0,96.0,15.0,77.0,4.0,13.0,19.0,486.0,165.0,168.0,75.0,162.0,17.0,1.0,40.0,28.0,0.0,15.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2438.0,300.0,232.0,9.0,46.0,79.0,101.0
69,4.0,29.0,4.0,11.0,6.0,98.0,36.0,33.0,35.0,7.0,9.0,20.0,14.0,12.0,17.0,38.0,3.0,21.0,6.0,8.0,6.0,9.0,3.0,38.0,5.0,2.0,38.0,29.0,34.0,113.0,89.0,73.0,53.0,79.0,23.0,71.0,10.0,15.0,24.0,430.0,116.0,173.0,62.0,122.0,16.0,2.0,27.0,37.0,0.0,6.0,0.0,3.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2130.0,258.0,225.0,16.0,68.0,73.0,88.0
70,2.0,21.0,0.0,14.0,9.0,57.0,30.0,6.0,19.0,2.0,15.0,10.0,10.0,19.0,23.0,37.0,4.0,14.0,7.0,11.0,3.0,2.0,3.0,38.0,4.0,2.0,23.0,16.0,20.0,96.0,98.0,80.0,51.0,83.0,21.0,63.0,13.0,6.0,10.0,340.0,113.0,161.0,65.0,105.0,16.0,2.0,37.0,38.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1833.0,217.0,188.0,13.0,25.0,64.0,86.0
71,5.0,26.0,5.0,21.0,0.0,115.0,27.0,0.0,34.0,6.0,19.0,3.0,10.0,25.0,10.0,60.0,4.0,20.0,2.0,4.0,6.0,5.0,2.0,25.0,8.0,1.0,18.0,21.0,32.0,106.0,77.0,60.0,34.0,83.0,16.0,39.0,36.0,6.0,4.0,343.0,106.0,125.0,69.0,110.0,13.0,1.0,16.0,24.0,0.0,17.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1805.0,226.0,218.0,11.0,34.0,40.0,86.0
72,6.0,52.0,1.0,14.0,3.0,119.0,36.0,2.0,17.0,1.0,17.0,16.0,5.0,54.0,7.0,48.0,3.0,26.0,12.0,8.0,6.0,8.0,5.0,37.0,5.0,1.0,25.0,25.0,19.0,115.0,71.0,113.0,57.0,71.0,23.0,37.0,39.0,5.0,3.0,457.0,97.0,149.0,91.0,98.0,20.0,1.0,25.0,31.0,0.0,11.0,0.0,3.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,2114.0,285.0,264.0,11.0,19.0,46.0,81.0
73,9.0,23.0,0.0,16.0,2.0,75.0,22.0,7.0,26.0,6.0,10.0,5.0,8.0,11.0,12.0,47.0,3.0,17.0,6.0,8.0,7.0,5.0,1.0,20.0,5.0,1.0,25.0,24.0,24.0,103.0,52.0,58.0,37.0,71.0,14.0,50.0,34.0,5.0,2.0,308.0,84.0,114.0,58.0,98.0,11.0,1.0,15.0,40.0,0.0,8.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1597.0,199.0,183.0,12.0,33.0,53.0,75.0
74,9.0,24.0,3.0,19.0,4.0,82.0,32.0,13.0,36.0,10.0,8.0,10.0,6.0,26.0,25.0,68.0,3.0,22.0,14.0,8.0,5.0,3.0,1.0,22.0,2.0,0.0,33.0,25.0,44.0,104.0,71.0,78.0,36.0,63.0,16.0,62.0,14.0,9.0,6.0,435.0,111.0,132.0,77.0,109.0,21.0,0.0,24.0,37.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1976.0,255.0,202.0,16.0,49.0,62.0,70.0
75,3.0,24.0,1.0,15.0,6.0,41.0,29.0,12.0,15.0,5.0,10.0,5.0,4.0,6.0,15.0,32.0,2.0,25.0,1.0,4.0,1.0,2.0,4.0,16.0,1.0,1.0,19.0,27.0,16.0,80.0,40.0,53.0,21.0,43.0,25.0,35.0,3.0,7.0,9.0,306.0,68.0,83.0,48.0,70.0,10.0,1.0,33.0,29.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,1322.0,164.0,167.0,11.0,27.0,40.0,51.0
