sura,ء,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ـ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,ٓ,ٔ,ٰ,ٱ,ۜ,۟,۠,ۢ,ۣ,ۥ,ۦ,ۨ,۪,۫,۬,ۭ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
1,0.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,1.0,8.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,1.0,3.0,22.0,15.0,11.0,5.0,4.0,0.0,14.0,0.0,0.0,0.0,45.0,6.0,31.0,14.0,21.0,1.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,29.0,28.0,0.0,3.0,14.0,4.0
2,251.0,641.0,47.0,389.0,74.0,1972.0,918.0,216.0,970.0,128.0,200.0,328.0,191.0,458.0,330.0,874.0,107.0,450.0,168.0,156.0,133.0,99.0,62.0,797.0,75.0,35.0,751.0,553.0,832.0,3198.0,2192.0,2019.0,1197.0,2082.0,450.0,1344.0,204.0,262.0,159.0,9684.0,3110.0,3533.0,1843.0,2883.0,406.0,36.0,727.0,1212.0,1.0,396.0,1.0,57.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,5.0,49406.0,6116.0,5391.0,408.0,1186.0,1444.0,2182.0
3,133.0,357.0,39.0,221.0,51.0,1028.0,574.0,100.0,557.0,52.0,93.0,171.0,104.0,252.0,218.0,508.0,67.0,227.0,86.0,88.0,66.0,50.0,36.0,383.0,62.0,24.0,396.0,306.0,485.0,1888.0,1246.0,1232.0,664.0,1149.0,260.0,844.0,112.0,126.0,87.0,5330.0,1767.0,2211.0,1114.0,1645.0,214.0,24.0,427.0,745.0,0.0,210.0,1.0,35.0,0.0,27.0,39.0,0.0,0.0,0.0,0.0,1.0,28132.0,3481.0,3038.0,247.0,657.0,883.0,1176.0
4,126.0,429.0,55.0,248.0,45.0,1325.0,478.0,116.0,561.0,75.0,136.0,196.0,128.0,301.0,181.0,489.0,51.0,306.0,82.0,122.0,101.0,65.0,45.0,404.0,62.0,22.0,503.0,255.0,582.0,1955.0,1303.0,1334.0,767.0,1310.0,223.0,1027.0,390.0,79.0,89.0,5788.0,1835.0,2264.0,1097.0,1716.0,255.0,22.0,465.0,677.0,0.0,246.0,0.0,29.0,0.0,40.0,52.0,0.0,0.0,0.0,0.0,4.0,30456.0,3747.0,3367.0,248.0,677.0,1079.0,1350.0
5,123.0,345.0,25.0,176.0,32.0,912.0,394.0,87.0,392.0,59.0,93.0,171.0,85.0,231.0,182.0,379.0,57.0,214.0,63.0,74.0,53.0,52.0,18.0,338.0,47.0,17.0,291.0,265.0,384.0,1460.0,1039.0,974.0,530.0,926.0,198.0,738.0,102.0,86.0,54.0,4490.0,1421.0,1624.0,853.0,1357.0,224.0,17.0,348.0,608.0,0.0,207.0,1.0,20.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,22894.0,2804.0,2587.0,197.0,479.0,760.0,962.0
6,136.0,332.0,30.0,203.0,31.0,936.0,453.0,70.0,404.0,58.0,117.0,160.0,75.0,199.0,207.0,504.0,66.0,212.0,132.0,69.0,66.0,52.0,48.0,369.0,50.0,17.0,294.0,271.0,468.0,1444.0,1058.0,1010.0,609.0,993.0,283.0,694.0,106.0,83.0,113.0,4806.0,1550.0,1748.0,867.0,1496.0,233.0,17.0,381.0,451.0,0.0,142.0,4.0,15.0,0.0,48.0,45.0,0.0,0.0,0.0,0.0,1.0,24226.0,3050.0,2586.0,214.0,474.0,739.0,1041.0
7,142.0,416.0,26.0,191.0,42.0,1213.0,508.0,105.0,466.0,61.0,165.0,164.0,129.0,246.0,229.0,532.0,41.0,298.0,83.0,98.0,62.0,56.0,43.0,400.0,67.0,32.0,357.0,356.0,466.0,1526.0,1161.0,1303.0,628.0,1102.0,299.0,708.0,110.0,91.0,85.0,5507.0,1619.0,1908.0,894.0,1707.0,274.0,32.0,439.0,524.0,1.0,210.0,4.0,19.0,0.0,52.0,44.0,0.0,0.0,0.0,0.0,4.0,27245.0,3320.0,3082.0,242.0,571.0,752.0,1154.0
8,43.0,128.0,14.0,90.0,23.0,349.0,173.0,30.0,162.0,18.0,38.0,52.0,34.0,87.0,95.0,185.0,23.0,70.0,27.0,29.0,27.0,22.0,8.0,162.0,25.0,7.0,153.0,109.0,200.0,653.0,455.0,437.0,258.0,475.0,89.0,340.0,41.0,56.0,27.0,1949.0,665.0,750.0,422.0,572.0,87.0,7.0,117.0,259.0,0.0,107.0,0.0,7.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,1.0,10184.0,1233.0,1032.0,87.0,192.0,347.0,495.0
9,67.0,278.0,37.0,155.0,29.0,706.0,350.0,87.0,307.0,31.0,102.0,138.0,86.0,207.0,145.0,412.0,55.0,194.0,49.0,63.0,61.0,34.0,29.0,313.0,37.0,14.0,308.0,216.0,301.0,1347.0,964.0,878.0,652.0,985.0,160.0,625.0,92.0,100.0,55.0,3926.0,1451.0,1525.0,739.0,1232.0,134.0,14.0,302.0,532.0,0.0,192.0,0.0,16.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,20802.0,2498.0,2133.0,147.0,394.0,660.0,1020.0
10,81.0,186.0,23.0,130.0,16.0,588.0,238.0,43.0,253.0,30.0,83.0,98.0,40.0,126.0,115.0,255.0,26.0,129.0,42.0,32.0,43.0,17.0,32.0,211.0,20.0,15.0,216.0,181.0,260.0,909.0,651.0,689.0,309.0,529.0,160.0,425.0,52.0,34.0,54.0,2801.0,893.0,1080.0,552.0,864.0,146.0,15.0,210.0,320.0,0.0,86.0,3.0,10.0,0.0,23.0,28.0,0.0,0.0,0.0,0.0,2.0,14374.0,1833.0,1594.0,135.0,296.0,453.0,552.0
11,81.0,238.0,18.0,166.0,20.0,646.0,283.0,55.0,236.0,32.0,79.0,86.0,57.0,146.0,96.0,323.0,35.0,122.0,43.0,60.0,32.0,28.0,24.0,244.0,34.0,12.0,186.0,180.0,256.0,791.0,699.0,633.0,328.0,595.0,189.0,446.0,61.0,94.0,97.0,2923.0,862.0,1123.0,516.0,869.0,170.0,12.0,221.0,227.0,0.0,105.0,4.0,8.0,0.0,39.0,20.0,0.0,1.0,0.0,0.0,1.0,14852.0,1917.0,1687.0,131.0,291.0,466.0,634.0
12,66.0,282.0,12.0,127.0,19.0,595.0,269.0,33.0,233.0,29.0,80.0,101.0,71.0,141.0,81.0,255.0,34.0,166.0,42.0,61.0,32.0,19.0,14.0,218.0,28.0,12.0,198.0,193.0,219.0,808.0,488.0,632.0,347.0,475.0,190.0,405.0,50.0,57.0,52.0,2809.0,781.0,1080.0,472.0,805.0,158.0,12.0,211.0,230.0,0.0,72.0,8.0,13.0,0.0,45.0,35.0,0.0,0.0,1.0,0.0,1.0,13867.0,1777.0,1635.0,109.0,266.0,440.0,520.0
13,45.0,106.0,1.0,30.0,19.0,241.0,151.0,26.0,94.0,16.0,35.0,42.0,23.0,77.0,47.0,135.0,21.0,70.0,22.0,20.0,24.0,12.0,6.0,99.0,15.0,5.0,81.0,87.0,104.0,476.0,257.0,229.0,174.0,276.0,64.0,190.0,29.0,24.0,42.0,1310.0,401.0,534.0,251.0,401.0,64.0,5.0,100.0,180.0,0.0,38.0,0.0,5.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,2.0,6737.0,853.0,721.0,70.0,120.0,207.0,290.0
14,33.0,90.0,8.0,57.0,8.0,250.0,134.0,18.0,114.0,17.0,34.0,33.0,31.0,73.0,53.0,158.0,21.0,76.0,25.0,24.0,22.0,11.0,11.0,95.0,13.0,3.0,83.0,57.0,113.0,448.0,303.0,277.0,140.0,249.0,89.0,173.0,18.0,29.0,52.0,1305.0,373.0,542.0,279.0,382.0,62.0,3.0,89.0,153.0,0.0,38.0,1.0,2.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,2.0,6689.0,830.0,728.0,52.0,132.0,183.0,254.0
15,29.0,68.0,8.0,68.0,8.0,227.0,100.0,18.0,73.0,4.0,43.0,42.0,24.0,41.0,22.0,94.0,19.0,66.0,16.0,23.0,14.0,11.0,9.0,80.0,8.0,3.0,64.0,83.0,85.0,319.0,254.0,319.0,96.0,192.0,40.0,164.0,13.0,20.0,41.0,1106.0,278.0,421.0,196.0,353.0,48.0,3.0,85.0,95.0,0.0,25.0,0.0,2.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5437.0,655.0,583.0,48.0,91.0,169.0,204.0
16,67.0,195.0,17.0,108.0,19.0,524.0,269.0,67.0,239.0,45.0,71.0,89.0,72.0,123.0,122.0,287.0,45.0,138.0,64.0,33.0,32.0,25.0,22.0,230.0,23.0,14.0,193.0,131.0,263.0,985.0,685.0,643.0,377.0,613.0,140.0,435.0,93.0,68.0,60.0,2987.0,929.0,1066.0,554.0,844.0,97.0,14.0,218.0,318.0,0.0,87.0,1.0,18.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0,2.0,14799.0,1844.0,1503.0,117.0,306.0,450.0,636.0
17,75.0,170.0,16.0,133.0,18.0,608.0,258.0,51.0,202.0,27.0,85.0,88.0,61.0,143.0,87.0,299.0,38.0,147.0,42.0,31.0,44.0,29.0,16.0,187.0,21.0,10.0,168.0,155.0,258.0,744.0,441.0,530.0,227.0,480.0,134.0,329.0,191.0,15.0,29.0,2479.0,685.0,904.0,421.0,819.0,107.0,10.0,190.0,213.0,0.0,56.0,0.0,8.0,0.0,36.0,27.0,0.0,0.0,0.0,0.0,2.0,12544.0,1556.0,1448.0,119.0,253.0,356.0,516.0
18,55.0,199.0,11.0,80.0,27.0,649.0,271.0,50.0,225.0,41.0,89.0,105.0,49.0,170.0,106.0,275.0,33.0,123.0,47.0,45.0,31.0,39.0,17.0,206.0,36.0,8.0,174.0,151.0,173.0,659.0,490.0,508.0,314.0,408.0,139.0,315.0,178.0,28.0,37.0,2538.0,662.0,875.0,375.0,788.0,119.0,8.0,167.0,170.0,0.0,66.0,4.0,4.0,0.0,34.0,24.0,0.0,0.0,0.0,0.0,3.0,12398.0,1579.0,1404.0,101.0,275.0,339.0,442.0
19,26.0,100.0,2.0,61.0,6.0,362.0,154.0,26.0,143.0,19.0,42.0,63.0,31.0,98.0,54.0,167.0,19.0,65.0,35.0,26.0,17.0,13.0,5.0,117.0,16.0,7.0,75.0,86.0,137.0,385.0,287.0,340.0,148.0,268.0,88.0,248.0,141.0,17.0,18.0,1542.0,345.0,555.0,331.0,432.0,44.0,7.0,135.0,132.0,0.0,21.0,1.0,7.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,7494.0,961.0,878.0,41.0,169.0,255.0,291.0
20,41.0,180.0,9.0,87.0,10.0,449.0,179.0,36.0,184.0,23.0,63.0,75.0,59.0,103.0,65.0,210.0,30.0,119.0,32.0,35.0,35.0,28.0,5.0,172.0,17.0,9.0,184.0,162.0,180.0,583.0,376.0,398.0,214.0,345.0,232.0,259.0,85.0,16.0,24.0,2225.0,504.0,699.0,338.0,674.0,99.0,9.0,238.0,150.0,0.0,35.0,2.0,4.0,0.0,30.0,14.0,0.0,0.0,0.0,0.0,1.0,10335.0,1335.0,1336.0,69.0,220.0,273.0,375.0
21,44.0,130.0,9.0,83.0,8.0,413.0,161.0,35.0,157.0,13.0,54.0,75.0,34.0,97.0,76.0,188.0,17.0,99.0,29.0,32.0,26.0,17.0,17.0,150.0,14.0,11.0,145.0,105.0,156.0,538.0,397.0,510.0,263.0,387.0,85.0,243.0,54.0,25.0,32.0,1941.0,571.0,653.0,293.0,607.0,90.0,11.0,195.0,162.0,0.0,45.0,3.0,2.0,0.0,31.0,14.0,1.0,0.0,0.0,0.0,1.0,9549.0,1169.0,1068.0,72.0,192.0,257.0,418.0
22,36.0,121.0,4.0,70.0,14.0,329.0,178.0,43.0,134.0,27.0,55.0,57.0,40.0,96.0,89.0,202.0,26.0,94.0,34.0,43.0,27.0,30.0,13.0,164.0,14.0,5.0,142.0,98.0,154.0,687.0,421.0,388.0,278.0,384.0,120.0,338.0,27.0,56.0,76.0,1897.0,634.0,776.0,438.0,518.0,60.0,5.0,161.0,282.0,0.0,76.0,1.0,6.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,4.0,10013.0,1274.0,1083.0,59.0,177.0,356.0,407.0
23,36.0,123.0,9.0,71.0,14.0,338.0,166.0,33.0,148.0,31.0,39.0,61.0,49.0,60.0,72.0,181.0,17.0,66.0,29.0,20.0,20.0,17.0,13.0,129.0,18.0,9.0,135.0,109.0,130.0,467.0,383.0,427.0,212.0,345.0,72.0,204.0,47.0,16.0,39.0,1679.0,554.0,603.0,277.0,529.0,65.0,9.0,153.0,146.0,0.0,34.0,1.0,7.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,3.0,8442.0,1050.0,903.0,68.0,181.0,219.0,357.0
24,59.0,166.0,18.0,69.0,23.0,347.0,208.0,53.0,199.0,20.0,58.0,83.0,47.0,88.0,85.0,174.0,33.0,89.0,44.0,33.0,38.0,24.0,17.0,179.0,27.0,9.0,132.0,61.0,180.0,717.0,480.0,434.0,299.0,456.0,85.0,385.0,37.0,85.0,50.0,2035.0,727.0,815.0,394.0,651.0,86.0,9.0,177.0,245.0,0.0,79.0,0.0,13.0,0.0,29.0,19.0,0.0,0.0,0.0,0.0,5.0,10875.0,1316.0,1089.0,109.0,252.0,404.0,485.0
25,32.0,90.0,4.0,46.0,11.0,412.0,136.0,24.0,108.0,20.0,54.0,44.0,33.0,64.0,87.0,192.0,21.0,81.0,27.0,18.0,23.0,11.0,9.0,109.0,9.0,7.0,73.0,89.0,125.0,444.0,243.0,282.0,139.0,335.0,70.0,220.0,150.0,13.0,17.0,1533.0,368.0,433.0,241.0,400.0,51.0,7.0,108.0,133.0,0.0,42.0,0.0,6.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,1.0,7222.0,893.0,859.0,54.0,132.0,234.0,348.0
26,47.0,197.0,21.0,118.0,11.0,395.0,189.0,29.0,166.0,29.0,60.0,59.0,38.0,51.0,85.0,216.0,40.0,93.0,24.0,25.0,20.0,33.0,17.0,204.0,18.0,9.0,142.0,133.0,186.0,609.0,481.0,602.0,170.0,418.0,123.0,328.0,28.0,38.0,57.0,2186.0,618.0,795.0,359.0,595.0,91.0,9.0,130.0,187.0,0.0,54.0,3.0,5.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,10565.0,1318.0,1150.0,88.0,195.0,335.0,435.0
27,63.0,154.0,13.0,71.0,11.0,375.0,152.0,39.0,176.0,12.0,55.0,52.0,35.0,98.0,56.0,192.0,19.0,93.0,37.0,26.0,24.0,27.0,16.0,134.0,11.0,5.0,116.0,120.0,140.0,528.0,396.0,422.0,227.0,333.0,110.0,242.0,42.0,36.0,44.0,1847.0,535.0,649.0,316.0,564.0,83.0,5.0,127.0,167.0,0.0,43.0,3.0,8.0,0.0,22.0,16.0,0.0,0.0,0.0,0.0,1.0,9088.0,1151.0,1004.0,92.0,215.0,258.0,355.0
28,63.0,175.0,7.0,98.0,13.0,461.0,169.0,42.0,214.0,16.0,72.0,71.0,38.0,124.0,52.0,216.0,19.0,101.0,33.0,39.0,29.0,19.0,16.0,177.0,25.0,7.0,150.0,147.0,178.0,662.0,457.0,564.0,274.0,417.0,167.0,337.0,55.0,22.0,31.0,2328.0,641.0,821.0,355.0,692.0,131.0,7.0,189.0,212.0,0.0,41.0,0.0,5.0,0.0,30.0,23.0,0.0,0.0,0.0,0.0,1.0,11233.0,1430.0,1302.0,90.0,256.0,360.0,447.0
29,49.0,103.0,8.0,75.0,15.0,326.0,148.0,32.0,121.0,18.0,47.0,50.0,30.0,64.0,67.0,116.0,21.0,70.0,21.0,25.0,16.0,17.0,8.0,114.0,9.0,7.0,101.0,92.0,127.0,550.0,341.0,407.0,195.0,353.0,71.0,234.0,34.0,23.0,17.0,1617.0,461.0,626.0,286.0,470.0,70.0,7.0,133.0,208.0,0.0,65.0,1.0,5.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,8099.0,976.0,916.0,79.0,153.0,248.0,367.0
30,40.0,79.0,9.0,36.0,16.0,228.0,110.0,24.0,112.0,27.0,25.0,43.0,25.0,51.0,59.0,140.0,15.0,70.0,26.0,16.0,30.0,9.0,11.0,93.0,8.0,6.0,110.0,77.0,120.0,390.0,314.0,275.0,147.0,271.0,55.0,217.0,29.0,10.0,29.0,1252.0,414.0,535.0,222.0,404.0,59.0,6.0,101.0,150.0,0.0,49.0,0.0,6.0,0.0,12.0,20.0,0.0,0.0,0.0,0.0,1.0,6583.0,817.0,649.0,71.0,136.0,237.0,283.0
31,11.0,58.0,1.0,36.0,6.0,129.0,75.0,18.0,64.0,9.0,19.0,30.0,21.0,46.0,20.0,89.0,14.0,37.0,18.0,20.0,13.0,6.0,7.0,63.0,14.0,2.0,53.0,31.0,69.0,293.0,170.0,153.0,106.0,151.0,59.0,109.0,19.0,27.0,32.0,793.0,220.0,333.0,172.0,233.0,23.0,2.0,67.0,114.0,0.0,12.0,0.0,6.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,4089.0,546.0,463.0,20.0,82.0,117.0,159.0
32,15.0,46.0,2.0,17.0,3.0,124.0,50.0,10.0,46.0,6.0,23.0,11.0,12.0,25.0,29.0,64.0,8.0,31.0,7.0,8.0,8.0,2.0,4.0,45.0,1.0,4.0,46.0,38.0,46.0,151.0,155.0,158.0,65.0,119.0,34.0,74.0,13.0,1.0,17.0,566.0,189.0,221.0,102.0,180.0,24.0,4.0,46.0,55.0,0.0,21.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,2939.0,372.0,322.0,24.0,56.0,80.0,123.0
33,46.0,153.0,29.0,79.0,16.0,482.0,162.0,35.0,180.0,14.0,62.0,66.0,39.0,105.0,81.0,193.0,32.0,91.0,28.0,30.0,24.0,24.0,17.0,151.0,18.0,11.0,122.0,111.0,197.0,708.0,418.0,506.0,275.0,462.0,101.0,341.0,132.0,16.0,23.0,2136.0,593.0,802.0,429.0,590.0,92.0,11.0,167.0,266.0,0.0,54.0,3.0,4.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,10755.0,1287.0,1248.0,102.0,215.0,351.0,480.0
34,36.0,81.0,8.0,54.0,7.0,309.0,141.0,22.0,86.0,14.0,39.0,36.0,14.0,76.0,67.0,151.0,30.0,59.0,28.0,12.0,25.0,10.0,8.0,114.0,14.0,3.0,98.0,94.0,115.0,415.0,287.0,288.0,125.0,261.0,84.0,208.0,23.0,24.0,58.0,1297.0,407.0,513.0,242.0,412.0,63.0,3.0,98.0,130.0,0.0,54.0,0.0,1.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,3.0,6772.0,883.0,756.0,54.0,108.0,216.0,278.0
35,24.0,76.0,6.0,55.0,9.0,237.0,103.0,21.0,88.0,13.0,38.0,41.0,29.0,63.0,58.0,157.0,30.0,66.0,24.0,20.0,20.0,8.0,8.0,78.0,18.0,1.0,93.0,42.0,108.0,395.0,250.0,234.0,155.0,218.0,55.0,190.0,36.0,48.0,30.0,1153.0,378.0,475.0,239.0,332.0,44.0,1.0,88.0,153.0,0.0,27.0,0.0,8.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,6070.0,775.0,664.0,40.0,109.0,205.0,230.0
36,27.0,86.0,3.0,59.0,4.0,239.0,71.0,24.0,82.0,14.0,36.0,40.0,28.0,50.0,45.0,121.0,18.0,47.0,27.0,22.0,15.0,14.0,5.0,83.0,12.0,5.0,70.0,72.0,77.0,326.0,309.0,301.0,140.0,221.0,60.0,172.0,31.0,28.0,33.0,1123.0,369.0,389.0,190.0,397.0,46.0,5.0,83.0,95.0,0.0,26.0,0.0,6.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,5760.0,725.0,622.0,39.0,106.0,180.0,227.0
37,35.0,79.0,8.0,95.0,10.0,295.0,155.0,19.0,104.0,12.0,45.0,56.0,24.0,59.0,57.0,127.0,23.0,72.0,19.0,34.0,14.0,21.0,16.0,111.0,12.0,3.0,112.0,80.0,98.0,443.0,316.0,433.0,164.0,265.0,64.0,205.0,29.0,36.0,29.0,1473.0,400.0,576.0,230.0,460.0,51.0,3.0,132.0,143.0,0.0,28.0,0.0,2.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,4.0,7303.0,861.0,808.0,56.0,123.0,213.0,279.0
38,20.0,87.0,5.0,63.0,6.0,276.0,147.0,21.0,68.0,9.0,36.0,52.0,37.0,69.0,62.0,125.0,20.0,53.0,20.0,29.0,17.0,20.0,7.0,98.0,15.0,7.0,76.0,74.0,88.0,329.0,206.0,257.0,120.0,193.0,63.0,118.0,25.0,46.0,33.0,1182.0,263.0,442.0,200.0,382.0,43.0,7.0,103.0,125.0,0.0,31.0,4.0,9.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,2.0,5820.0,733.0,717.0,38.0,89.0,124.0,217.0
39,40.0,136.0,3.0,61.0,12.0,292.0,177.0,33.0,161.0,29.0,49.0,61.0,50.0,88.0,88.0,170.0,34.0,94.0,34.0,22.0,32.0,11.0,10.0,125.0,13.0,5.0,122.0,115.0,143.0,623.0,378.0,369.0,255.0,337.0,114.0,268.0,39.0,30.0,34.0,1801.0,588.0,719.0,367.0,517.0,68.0,5.0,151.0,232.0,0.0,56.0,0.0,4.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,1.0,9212.0,1172.0,986.0,60.0,194.0,288.0,363.0
40,49.0,120.0,10.0,77.0,6.0,363.0,211.0,25.0,142.0,23.0,41.0,62.0,33.0,115.0,91.0,209.0,23.0,99.0,27.0,33.0,26.0,12.0,11.0,142.0,19.0,8.0,149.0,107.0,187.0,623.0,377.0,403.0,203.0,363.0,126.0,273.0,35.0,20.0,36.0,1799.0,602.0,800.0,363.0,576.0,75.0,8.0,148.0,253.0,0.0,59.0,1.0,7.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,2.0,9604.0,1219.0,1087.0,73.0,167.0,290.0,378.0
41,48.0,87.0,3.0,54.0,13.0,304.0,95.0,29.0,98.0,12.0,29.0,46.0,25.0,68.0,56.0,116.0,23.0,64.0,30.0,19.0,16.0,8.0,10.0,102.0,10.0,6.0,92.0,81.0,86.0,354.0,273.0,295.0,143.0,249.0,81.0,191.0,32.0,30.0,39.0,1269.0,348.0,472.0,241.0,374.0,70.0,6.0,81.0,120.0,0.0,48.0,1.0,6.0,0.0,13.0,7.0,0.0,0.0,0.0,1.0,2.0,6376.0,794.0,727.0,70.0,127.0,198.0,262.0
