sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
91,1.0,0.0,4.0,0.0,4.0,0.0,55.0,10.0,1.0,3.0,2.0,2.0,3.0,2.0,6.0,7.0,7.0,1.0,8.0,3.0,0.0,2.0,2.0,0.0,4.0,2.0,10.0,10.0,3.0,21.0,16.0,8.0,27.0,24.0,0.0,5.0,253.0,54.0,63.0,1.0,4.0,5.0,24.0
92,1.0,1.0,10.0,1.0,8.0,0.0,37.0,8.0,2.0,13.0,1.0,4.0,3.0,3.0,5.0,9.0,12.0,2.0,12.0,3.0,2.0,1.0,1.0,1.0,8.0,4.0,5.0,5.0,6.0,40.0,13.0,22.0,12.0,20.0,22.0,17.0,314.0,71.0,78.0,3.0,15.0,17.0,20.0
93,0.0,2.0,6.0,0.0,1.0,2.0,19.0,4.0,2.0,5.0,1.0,4.0,2.0,2.0,6.0,1.0,8.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,9.0,2.0,9.0,19.0,10.0,4.0,3.0,15.0,8.0,9.0,165.0,40.0,36.0,4.0,7.0,9.0,15.0
94,0.0,0.0,2.0,0.0,4.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,13.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,7.0,2.0,6.0,1.0,9.0,7.0,3.0,8.0,1.0,5.0,1.0,3.0,102.0,27.0,17.0,0.0,1.0,3.0,5.0
95,0.0,1.0,6.0,0.0,2.0,0.0,22.0,5.0,0.0,4.0,1.0,1.0,4.0,1.0,6.0,3.0,4.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,3.0,4.0,21.0,11.0,17.0,4.0,11.0,0.0,14.0,162.0,34.0,31.0,1.0,4.0,14.0,11.0
96,0.0,1.0,14.0,0.0,9.0,2.0,37.0,13.0,5.0,9.0,0.0,2.0,0.0,3.0,6.0,6.0,14.0,1.0,8.0,0.0,3.0,0.0,3.0,0.0,12.0,2.0,2.0,8.0,10.0,38.0,13.0,25.0,7.0,7.0,11.0,17.0,288.0,72.0,72.0,3.0,14.0,17.0,7.0
97,0.0,0.0,4.0,0.0,2.0,1.0,14.0,2.0,4.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,19.0,9.0,7.0,5.0,3.0,1.0,7.0,115.0,30.0,21.0,1.0,6.0,7.0,3.0
98,2.0,1.0,9.0,2.0,4.0,2.0,58.0,13.0,9.0,17.0,0.0,5.0,5.0,5.0,9.0,6.0,19.0,2.0,1.0,4.0,4.0,2.0,1.0,0.0,7.0,0.0,10.0,4.0,15.0,45.0,29.0,34.0,22.0,24.0,1.0,33.0,404.0,94.0,73.0,7.0,26.0,33.0,24.0
99,0.0,0.0,9.0,0.0,2.0,2.0,25.0,3.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,5.0,13.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,18.0,11.0,6.0,8.0,7.0,1.0,9.0,158.0,36.0,37.0,2.0,7.0,9.0,7.0
100,0.0,0.0,2.0,0.0,6.0,1.0,21.0,11.0,0.0,3.0,2.0,1.0,5.0,2.0,7.0,3.0,10.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,6.0,1.0,7.0,3.0,2.0,18.0,9.0,10.0,8.0,10.0,1.0,11.0,169.0,40.0,30.0,1.0,3.0,11.0,10.0
