sura_num,aya_num,median,std
2,54,33703.586088170385,3125.1110701447788
2,55,15847.266891953019,1489.10848495125
2,56,9333.22277799062,899.0266716100831
2,57,24361.200125448686,2680.5087047522015
2,58,22036.80966259268,2648.959155291698
2,59,18880.14045532832,3441.506389231147
2,60,27419.422178806148,2830.4905666139925
2,61,73343.04254220586,7344.73612076587
2,62,29593.463688763,4832.47699176668
2,63,17888.43114243326,2638.347538990258
2,64,16380.89729951727,1657.872942173114
2,65,12614.250920837425,1286.3086226527435
2,66,11813.551786649525,2058.9759232635447
2,67,21547.66374738324,3279.930351194335
2,68,21693.72316612512,2251.001625603478
2,69,21581.717734359998,1996.0459411110348
2,70,17688.749987200612,2724.7402755900976
2,71,25081.673105132326,3214.54410351088
2,72,12354.637375289778,1526.2504972902698
2,73,14571.907109378277,2008.3092274544617
2,74,42503.09598982749,5971.034482315739
2,75,21283.368682556596,3522.3587514703013
2,76,35272.72537962135,5566.764466548784
2,77,9542.482527426282,857.2969848586722
2,78,12974.246752886771,1648.9318418031387
2,79,29594.80220967291,3906.348133423018
2,80,25512.52586658644,3023.1919711143087
2,81,19335.413439450138,3863.80992396351
2,82,14479.240508298648,2987.5197811519624
2,83,41963.707221163,6999.834513097793
2,84,20692.747360536203,4626.292829073536
2,85,67815.89522809235,9526.074310359227
2,86,15988.644805267368,2152.979943956383
2,87,36502.5483623834,4182.691939940214
2,88,12566.949406570635,1353.351719521597
2,89,30838.45881082806,4918.130608901999
2,90,33344.96925650795,3874.4517889629205
2,91,36381.46252047854,5245.0015865327605
2,92,14576.37621262198,2629.80585903215
2,93,35211.07762681844,5768.086116195132
2,94,19829.695263123558,3086.9416810465955
2,95,13539.90604033629,1333.5926334905805
2,96,29670.137694263227,6395.219202872366
2,97,20480.396076492365,3014.759603198413
2,98,16866.290390159556,3752.618896151639
2,99,14008.963266076422,1485.4168526299854
2,100,12674.621290538944,1879.265091360209
2,101,28977.93253945289,4587.351538483465
2,102,82368.5079113175,8525.707138893373
2,103,13879.678136869923,1464.831968807019
2,104,15649.285153123248,1661.0195284069332
2,105,27815.292288220367,2524.989411796284
2,106,18764.76856109831,1904.5072874677253
2,107,16433.784082800586,2119.7977075299746
2,108,19086.699227039113,2464.906932176715
2,109,35645.575376844376,7242.827260900055
2,110,21018.016577154413,3122.357627489945
2,111,20059.541517455058,2110.5789291700216
2,112,18806.49724829085,3393.9300165683585
2,113,33037.99948302355,6339.869627801523
2,114,31360.89406509891,2853.3100705301563
2,115,15844.475279687247,1361.9199546052664
2,116,14296.267562359571,1362.9836019855388
2,117,13965.088939428451,1697.266611470432
2,118,27172.518360146903,2699.65992905556
2,119,13619.682269154611,2049.8404549247416
2,120,31974.645770433388,4388.49080500373
2,121,19897.558855212133,2211.7874004536566
2,122,15166.587849059,1876.9940662237323
2,123,19626.501443009147,4769.523608299156
2,124,24531.374286260943,2037.9653184313393
2,125,31132.66071547892,4420.232714206553
2,126,34271.64292328563,4693.322789169632
2,127,16334.898029459226,1889.9192258145135
2,128,21727.969135019135,3875.752740689712
2,129,21280.35859129928,2654.2385295398326
2,130,18783.901845481138,2037.2223712007656
2,131,9109.834835084504,1221.3044672021192
2,132,21211.184653428485,3792.3467190242523
2,133,33782.83352079914,4507.3414506395675
2,134,16697.1792127016,1869.5275701891987
2,135,15303.822003898487,3111.0247010006633
2,136,39107.22907065385,7900.92447142513
2,137,23674.027650092547,2797.5569300181514
2,138,10489.44652371372,1424.722906703288
2,139,18023.297603884377,3928.7094722641473
2,140,34479.11697178295,4062.5792428093187
2,141,16899.364185059796,2710.711678713249
2,142,24705.693093315305,3008.3082658370267
2,143,53696.44584542148,4959.118072171748
2,144,39155.448489091854,3870.164159422544
2,145,36993.79657965785,4348.003128227705
2,146,19237.182966028675,2361.65532202116
2,147,7621.630248529289,1122.599094988825
2,148,21576.60612059263,2331.4355259843564
2,149,17728.387588857862,1945.6062931529793
2,150,35557.290357701546,5704.22385737511
2,151,23149.028679106337,4004.922408394941
